name,type,notranslate,comment,value,en
"watchpointsfo,dragdock.caption",vaString,F,,Watchpoints,Watchpoints
"watchpointsfo,caption",vaString,F,,Watchpoints,Watchpoints
"watchpointsfo,grid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,on,on
"watchpointsfo,grid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Kind,Kind
"watchpointsfo,grid,fixrows.items,0:,captions.items,2:,caption",vaString,F,,Expression,Expression
"watchpointsfo,grid,fixrows.items,0:,captions.items,4:,caption",vaString,F,,Count,Count
"watchpointsfo,grid,fixrows.items,0:,captions.items,5:,caption",vaString,F,,Ignore,Ignore
"watchpointsfo,grid,fixrows.items,0:,captions.items,6:,caption",vaString,F,,Condition,Condition
"watchpointsfo,gripopup,menu.submenu.items,0:,caption",vaString,F,,Delete all,Delete all
"watchpointsfo,c,strings.data,0:",vaString,F,,Watchpoint error.,Watchpoint error.
"watchpointsfo,c,strings.data,1:",vaString,F,,WATCHPOINT ERROR,WATCHPOINT ERROR
"watchpointsfo,c,strings.data,2:",vaString,F,,Program not loaded.,Program not loaded.
"watchpointsfo,c,strings.data,3:",vaString,F,,Do you wish to delete all watchpoints?,Do you wish to delete all watchpoints?
"watchpointsfo,c,strings.data,4:",vaString,F,,Confirmation,Confirmation
"watchfo,dragdock.caption",vaString,F,,Watches,Watches
"watchfo,caption",vaString,F,,Watches,Watches
"watchfo,grid,fixrows.items,0:,captions.items,0:,hint",vaString,F,,Active,Active
"watchfo,grid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Expression,Expression
"watchfo,grid,fixrows.items,0:,captions.items,1:,hint",vaString,F,,Expressions starting with # are treated as gdb commands,Expressions starting with # are treated as gdb commands
"watchfo,grid,fixrows.items,0:,captions.items,2:,caption",vaString,F,,Result,Result
"watchfo,grid,fixrows.items,0:,captions.items,3:,hint",vaString,F,,"Display format
B = Binary
D = Decimal signed
U = Decimal unsigned
H = Hex","Display format
B = Binary
D = Decimal signed
U = Decimal unsigned
H = Hex"
"watchfo,watcheson,frame.caption",vaString,F,,Watches &on,Watches &on
